created_at,id,lng,lat,topic,sentiment,stance,gender,temperature_avg,aggressiveness
2006-06-06 16:06:42+00:00,6132,,,Weather Extremes,-0.097179938,neutral,female,,aggressive
2006-07-23 21:52:30+00:00,13275,-73.9495823,40.6501038,Weather Extremes,0.575777351,neutral,undefined,-1.1147681,aggressive
2006-08-29 01:52:30+00:00,23160,,,Weather Extremes,0.500478979,neutral,male,,aggressive
2006-11-07 02:46:52+00:00,57868,,,Weather Extremes,0.032816064,neutral,male,,aggressive
2006-11-27 14:27:43+00:00,304553,,,Importance of Human Intervantion,-0.090428409,neutral,male,,aggressive
2006-11-29 23:21:04+00:00,454763,,,Seriousness of Gas Emissions,-0.28346699,neutral,male,,aggressive
2006-12-11 22:08:14+00:00,971753,,,Ideological Positions on Global Warming,-0.04662584,believer,male,,not aggressive
2006-12-14 01:39:10+00:00,1092823,-122.41942,37.77493,Ideological Positions on Global Warming,-0.544194675,neutral,male,4.2285404,aggressive
2006-12-17 19:43:09+00:00,1278023,-79.79198,36.07264,Weather Extremes,-0.565027601,denier,male,5.4781747,aggressive
2006-12-21 01:39:01+00:00,1455543,-121.80579,38.00492,Weather Extremes,0.650959907,neutral,male,-1.6521555,not aggressive
2006-12-29 22:21:09+00:00,1835943,,,Impact of Resource Overconsumption,0.634858615,believer,male,,aggressive
2006-12-31 10:47:25+00:00,1893063,-1.9026911,52.4796992,Weather Extremes,0.670905292,neutral,male,4.8645205,aggressive
2007-01-06 17:36:51+00:00,2266613,-73.9495823,40.6501038,Weather Extremes,-0.56782136,neutral,male,15.600876,aggressive
2007-01-06 18:08:03+00:00,2268453,,,Weather Extremes,-0.202490926,neutral,male,,not aggressive
2007-01-07 22:44:24+00:00,2332873,,,Weather Extremes,-0.394609825,neutral,male,,aggressive
2007-01-08 17:46:45+00:00,2377823,-0.12574,51.50853,Impact of Resource Overconsumption,-0.531148788,neutral,undefined,4.908487,aggressive
2007-01-09 16:43:09+00:00,2464013,,,Global stance,-0.474514604,neutral,male,,aggressive
2007-01-09 17:00:53+00:00,2466073,,,Global stance,-0.474514604,neutral,male,,aggressive
2007-01-09 18:00:59+00:00,2476603,,,Global stance,-0.474514604,neutral,male,,aggressive
2007-01-09 19:54:38+00:00,2493423,,,Global stance,-0.474514604,neutral,male,,aggressive
2007-01-10 22:21:35+00:00,2579333,,,Global stance,-0.162596452,neutral,male,,aggressive
2007-01-10 22:22:04+00:00,2579403,-0.1276474,51.5073219,Global stance,-0.162596452,neutral,male,4.59847,aggressive
2007-01-10 22:22:15+00:00,2579433,-0.1276474,51.5073219,Global stance,-0.162596452,neutral,male,4.59847,aggressive
2007-01-11 06:21:43+00:00,2604673,-0.1276474,51.5073219,Importance of Human Intervantion,0.048919663,believer,male,4.7022176,not aggressive
2007-01-11 09:30:36+00:00,2611903,,,Weather Extremes,-0.353563428,neutral,male,,aggressive
2007-01-14 17:32:20+00:00,2840473,,,Weather Extremes,0.540742372,neutral,male,,not aggressive
2007-01-16 01:40:53+00:00,2958313,,,Importance of Human Intervantion,0.447938868,believer,male,,not aggressive
2007-01-16 12:20:32+00:00,2998933,,,Importance of Human Intervantion,0.112459839,believer,male,,not aggressive
2007-01-16 12:30:55+00:00,2999523,-0.12574,51.50853,Importance of Human Intervantion,0.112459839,believer,male,4.9978456,not aggressive
2007-01-16 15:30:44+00:00,3013933,,,Politics,-0.013499147,neutral,male,,not aggressive
2007-01-16 19:53:59+00:00,3040243,-96.7968559,32.7762719,Weather Extremes,0.027764864,neutral,male,-9.293259,aggressive
2007-01-17 02:18:13+00:00,3081573,-73.9495823,40.6501038,Weather Extremes,0.026214224,neutral,male,-2.8510103,not aggressive
2007-01-17 08:52:56+00:00,3106593,,,Global stance,0.455773557,neutral,male,,aggressive
2007-01-18 13:22:52+00:00,3241963,-80.0144842,36.1126365,Weather Extremes,-0.377973888,denier,male,-3.005815,aggressive
